uid,Text,DV_present,Abuse_present,Sentiment,Hashtags,
126,"Abusers tend to be very manipulative and come off as charming to everyone else. Mine convinced me that I was just crazy, that he wasn’t actually abusive and that I was “damaging his reputation.” He wanted me to believe I was in the wrong #Youvegothelp",Positive,NOT,Negative,#Youvegothelp,
127,"This is important. Just because it isn’t physical doesn’t mean it isn’t abuse. My personal experience was emotional/financial abuse that lasted for over a year. When I finally left, it was another six months and a court date until I was free. #YouveGotHelp, just reach out.",Positive,NOT,Negative,#Youvegothelp,
128,"I left my abusive relationship almost three years ago; at the time he completely isolated me from all my friends and family BUT when I finally left, my friends and family were waiting with open arms to help me pick up the pieces. Please remember #Youvegothelp",Positive,NOT,Positive,#Youvegothelp,
129,"This cycle is so real. The fearing for the outburst, the outburst (emotional, physical, verbal) and then the pleading they’ll be better and buying you nice things or taking you out to make up for it",Positive,NOT,Negative,,
130,"By the point of the first outburst you’re usually deep in it and conditioned by your abuser. Their manipulation tactics play on your mind and you believe you have to stay - out of commitment, out of embarrassment, or out of fear. #YouveGotHelp",Positive,NOT,Negative,#YouveGotHelp,
131,"Because even in that moment I felt I was NOT ALLOWED to claim that as an emergency. 911 immediately transferred me off the emergency line. I wish I’d recorded or remembered my wait time. It was long. It was over an hour, I know that. I don’t think it was over two hours.",Positive,OFF,Negative,,
132,"-The torment just kept going on an on an on, Isiah was getting his rocks off as I lay on my stomach, silent tears an prayers going through my head all wishing he’d stop….an he did, eventually.",Positive,OFF,Negative,#Solo #TriggerWarnings #DV #SexualAssault,
133,A San Antonio officer shot and killed a man accused of threatening his wife and her three children with a knife,Positive,OFF,Negative,,
134,Walking away on a #relationship or #marriage that is #abusive isn't #givingup -- It's finally giving yourself a fighting chance at #happiness #love and #health. Don't seek permission to leave. . .,Positive,NOT,Neutral,#domesticviolence #datingviolence #spousalabuse #narcissisticabuse,
135,"TBH, Abuse isn’t only physical, there are many tactics of abuse. Digital abuse happens when your partner constantly texts or calls you or uses apps to track you. Abuse is not love. #TeenDV #TeenDating #YoungLove #Datingviolence #Indigenous #Native #NativeLoveIs",Positive,NOT,Negative,#TeenDV #TeenDating #YoungLove #Datingviolence #Indigenous #Native #NativeLoveIs,
136,"""When I was 15, I went through an abusive relationship... and it took a long time to move past the anxiety..."" Listen to Leah's survivor story and how she pushed through her trauma from abuse. Thank you, Leah! https://youtu.be/WPX9IvQciwE #Datingabuse #TeenDV",Positive,NOT,Negative,#Datingabuse #TeenDV,
137,"Over 50% of men & women who have been physically or sexually abused or stalked by a dating partner, first experienced abuse between the ages of 11-24. #DVAM #1thing #domesticviolence #sexualabuse #datingviolence #relationshipviolence #youngerthanyouthink",Negative,NOT,Neutral,#DVAM #1thing #domesticviolence #sexualabuse #datingviolence #relationshipviolence #youngerthanyouthink,
138,"""One thing that made it so hard for me to leave was after he abused me he would always try to kill himself. It was another way to control me. He would take pills or do things to try to get me to save him from himself."" http://bit.ly/2ql8B3O #RawTruthDV #btsadv #DVAM2018",Positive,NOT,Negative,#RawTruthDV #btsadv #DVAM2018,
139,"""One night I told him I couldn’t be in the relationship anymore. He got the kids to sleep, took me in the bedroom, put me on the floor and raped me while holding a knife to my neck. He told me it was time for me to die."" http://bit.ly/2ObwFQl #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#RawTruthDV #btsadv #DVAM2018,
140,I’m glad we’re starting to discuss forms of emotional and psychological abuse now because a lot of folks you know use “I never put my hands on anyone” as cover for the fact that they’ve been manipulative partners who coerce and gaslight. #DVAM2018,Positive,NOT,Negative,#DVAM2018,
141,"Domestic violence is about control and control takes many many forms. If a partner is ""only"" controlling through technology it is still not okay. We all deserve to be safe in every way #DVAM2018",Positive,NOT,Neutral,#DVAM2018,
142,"""My children were in the car, and he assaulted me, grabbed the steering, and tried to run us off the road. My daughter was smart enough to call the police and give them mile markers to where we were on the highway."" http://bit.ly/2EP8NT0 #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#RawTruthDV #btsadv #DVAM2018,
143,"“This cuts across every economic level. Any race, any religion, any ethnicity, any age. It has to do with power and how one person exerts control over another person. Finances are an invisible weapon.” #DVAM2018 @PurplePurse https://buff.ly/2JoKz0y",Negative,NOT,Neutral,#DVAM2018 ,
144," am the daughter of a narcissist. When I think about domestic violence, two people come to mind: my father, and Kevin, the son of a family friend. Because of that awful period in my life, I have no faith or trust in my father. #btsadv #dvam2018 http://bit.ly/2PtzkJK",Negative,NOT,Negative,#btsadv #dvam2018,
145,"""The idea of what happens at home, stays at home, killed my sister."" - @JanineAuthor recounting the murder of her sister Amy, at hands of Amy's boyfriend. #SU4SF #domesticviolence #DVAM2018",Positive,NOT,Neutral,#domesticviolence #DVAM2018,
146,Tonight in #BreeseIl #ButterflyDreamsAlliance is holding a candlelight vigil for #DVAM2018 - CDC est 1 in 4 homes living with some type of violence or harm. Youth Risk survey reports 1 in 3 teens have been physically/sexually harmed by someone they're dating. 6pm #IgniteChurch,Positive,NOT,Negative,#BreeseIl #ButterflyDreamsAlliance #DVAM2018 #IgniteChurch,
147,A high conflict ex spouse may be the perpetrator of #abuse. She may attempt to control everything the new spouse or SO does and engage in harassing behavior. DV isn’t always between intimate partners. #DVAM2018,Negative,OFF,Negative,#DVAM2018,
148,"He's an abuser Abusers R verbally/emotionally abusive: Verbal abuse often starts long before any physical battering. Name-calling, yelling, blaming, swearing, or making insulting gestures R all warning signs of imminent physical abuse. #DVAM2018  #DomesticViolenceAwarenessMonth",Positive,OFF,Negative,"#DVAM2018 
#DomesticViolenceAwarenessMonth",
149,"2/3 of #elderabuse victims are women.  Older women who experience #domesticviolence often overlooked- need to tailor resources to fit their needs. It is DV when a family member abuses, exploits an older relative. #DVAM2018 @NOMOREorg @ncall_us @TheJHF",Negative,NOT,Neutral,#domesticviolence #DVAM2018,
150,"A survivor letter to an abuser: ""I’m still scared sometimes. I still look over my shoulder. I feel like you’re still watching me, judging my every move. Waiting for the perfect time to reappear and finish what you started."" http://bit.ly/2Sq1bt3 #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#DVAM2018,
151,"“Something was just telling me, ‘You’ve had enough.'” After bravely leaving an abusive relationship, Isis and her two sons were at risk for #homelessness.  S:US helped them stay safe, heal, and build a healthy future together. #DVAM2018",Positive,OFF,Negative,#homelessness #DVAM2018,
152,"As #DVAM2018 is nearing its end, I wanted to share my personal story about domestic violence & how I escaped https://narcissisticabuse.blog/2018/06/27/my-victim-impact-statement-to-my-narcissistic-ex-boyfriend/… #domesticviolence #domesticabuse #narcissisticabuse #ptsd #cptsd #healing #trauma #victim #survivor",Positive,NOT,Neutral,#DVAM2018 #domesticviolence #domesticabuse #narcissisticabuse #ptsd #cptsd #healing #trauma #victim #survivor,
153,"The term 'revenge porn' or more accurate term nonconsensual pornography, is a common threat and tactic within abusive relationships.  @CCRInitiative has created online removal guides: https://cybercivilrights.org/online-removal/?fbclid=IwAR2UcO6FbdlX6HFHVZFupHMY9SCGyccDQdUGw-vvKdZyC9y1CuN8PmWvtPk… #DVAM2018",Positive,OFF,Negative,#DVAM2018,
154,Abusers or batterers just have a problem expressing anger. They need counseling or anger management courses to learn to resolve disputes without violence #mythmonday #DVAM2018,Positive,OFF,Negative,"#mythmonday
#DVAM2018",
155,BC when a #SurvivorSpeaks others have the courage to be heard. Stacy* tells us about what it felt like to hear others who had similar experiences to hers & the strength that gave her to reach out for help herself. #DVAM2018,Negative,NOT,Neutral,"#SurvivorSpeaks
#DVAM2018",
156,BC when a #SurvivorSpeaks we get a better idea of what control tactics look like. Patricia* tells about the text messages she would receive from her abuser demanding to know where she was. She says the impact on her schooling & work was overwhelming. #DVAM2018,Negative,NOT,Neutral,"#SurvivorSpeaks
#DVAM2018",
157,"BC when a #SurvivorSpeaks we’re reminded of how important support of friends and family can be. Colleen* explains how important it was that her mom & grandparents never gave up on her, stepping in w support & love at every chance until she was finally away from him.
#DVAM2018",Negative,NOT,Neutral,,
158,"Nearly three in four survivors of intimate partner violence stayed with an abusive partner longer than they wanted or returned to them for economic reasons, according to new @IWPResearch report. #paidsickdays #DVAM2018 http://bit.ly/2qdNHU9",Positive,OFF,Negative,#paidsickdays #DVAM2018,
159,"There are different types of partner abuse. Oftentimes, abusers will use finances to harm a person’s financial stability or discourage them from getting help. Learn the different forms of abuse: …https://www.centerforabusedpersonscharlescounty.org/intimate-partner-violence…  #DVAM2018",Positive,OFF,Negative,#DVAM2018,
160,"""He got my mother and stepfather to take his side and gang up on me, threatening to take my daughter away forever if I left and insisting that I have some kind of mental disorder."" http://bit.ly/2Q1V4JL #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#DVAM2018,
161,"Did you know that college roommates could have an abusive relationship? #Abusers may go after anyone in their path...including roommates. The abuser wants power and control. If your roommate is abusive, tell your RA. #DVAM2018 https://thoughtco.com/signs-of-a-bad-roommate-relationship-793696",Positive,OFF,Negative,#DVAM2018,
162,"An example of coercive control is an #abuser yelling, screaming and physically threatening a victim if she didn’t buy drinks for a dinner party in order to force her to do it “or else.” #DVAM2018",Positive,OFF,Negative,#abusers #DVAM2018,
163,#Abusers don’t accept accountability for their actions. They tell the victim “we need to stop treat each other this way” “you know how to keep me from acting like this” or “you are turning me into a monster.” Their actions are the victim’s fault. #DVAM2018,Positive,OFF,Negative,#abusers #DVAM2018,
164,"In #DVAM2018 and every month it is important to remember that domestic abuse is not always physical. Emotional abuse can be just as serious as physical, and is not always discussed. To gain more insight read this article: https://bit.ly/2pqkwg5",Positive,NOT,Negative,#DVAM2018,
165,"""I told him I was calling the police. He ripped his shirt and began to punch himself in the head. I didn’t know why at the time, but he was already planning to claim self-defense."" http://bit.ly/2JeSUnw #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#DVAM2018,
166,#Abusers antagonize victims until the victim becomes angry or upset and then say “see...she is the problem.” #DVAM2018,Positive,OFF,Negative,#abusers #DVAM2018,
167,"""I was cheated on and blamed. I was kept isolated from finances. I was forced into abortions I didn’t want, and I was used sexually because I was married; my feelings of disgust didn’t matter.""  http://bit.ly/2PlvKRT #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#RawTruthDV #btsadv #DVAM2018,
168,#Gaslighting is psychological abuse whereby victim is lied to about almost anything. #abuser often finds behavior funny or tries to make victim seem stupid/crazy. It can be especially damaging when victim is isolated. It’s about power and control. #DVAM2018,Positive,OFF,Negative,#Gaslighting #DVAM2018,
169,"""There is a very real fear that my mother’s murder will be blamed on our culture and faith rather than on a culture of patriarchy and violence .""  @NourNaas #DVAM2018",Negative,OFF,Neutral,#DVAM2018,
170,"""Earlier that day we had vowed our lives to each other. In good times and bad, through sickness and health. That very night was the first time my abuser ever laid his hands on me."" http://bit.ly/2CyZl3D #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#DVAM2018,
171,"""Once you have decided to leave and the abuser suspects what you are doing, they will become even more controlling, violent and abusive.”~CL Valens http://bit.ly/domesticviolencesurvivorhandbook… #DVAM #DVAM2018 #domesticviolence #domesticabuse #metoo #DVHelper #DVSurvivor #allgenders #childrensuffer",Positive,OFF,Negative,#DVHelper #DVSurvivor #allgenders #childrensuffer,
172,"An apology from a narcissist:
""I apologize for how I spoke to, but you need to learn respect and how to communicate with people, I do as well, but you already know the way I get when I'm angry and you kept going so and didn't let me finish speaking once, I said ... ""
#DVAM2018",Negative,OFF,Neutral,#DVAM2018,
173,"Does anyone else find the @SafeHorizon #putthenailinit campaign just a little too - I don't know - aggressive? Like, why use an analogy about death when so many women are killed by abusers? I don't know, maybe it's just me.  Am I reaching or does it feel gross to you, too?",Negative,OFF,Negative,#putthenailinit,
174,"A moving personal story from Dr. Conte Terrell founder of Fresh Spirit Wellness. 

“It did not look like what I thought abuse looked like. And it didn’t happen every day or every week.” 

Domestic violence happens to 1 in 4 women, every 9 seconds. 

#DVAM2018 #socialjusticeUH",Positive,NOT,Neutral,#DVAM2018,
175,"""#1Thing that most impacted my healing & resilience is understanding the connection of trials of my life & how those trials affected every decision I have made."" - Tonise Gardner #DVAM2018",Negative,NOT,Positive,#1Thing #DVAM2018,
176,"AVDA’s Maisha Colter explains that abusive relationships generally seem to begin as loving relationships, but the abuser begins to use control and power over his/her partner. “Break the Silence” 
@HarrisCountyDAO
@UHouston
 #DVAM2018",Positive,OFF,Negative,#DVAM2018,
177,"Largely female, often poor, domestic violence victims suffer in silence and live in the shadows. In our 
@BarrowNeuro
 clinic, we see increasing numbers of domestic violence victims who have suffered too many traumatic brain injuries to count. #DVAM2018",Positive,NOT,Negative,#DVAM2018,
178,"Domestic violence is the third chapter in the unfolding history of #concussion.
First chapter involved Gulf War vets.
Second chapter was pro athletes.
Now we are identifying a growing number of traumatic brain injuries in domestic violence victims. #DVAM2018",Negative,OFF,Neutral,#DVAM2018,
179,People often think of domestic violence as physical harm. But emotional abuse among partners can be just as damaging. #DVAM2018,Positive,NOT,Negative,#DVAM2018,
180,"“Well, why doesn’t she just leave?”

Because she can’t afford to.

ON OUR BLOG: Economic Sabotage and Exploitation in Abusive Relationships http://bit.ly/2PhAtEn #financialabuse #DVAM #DVAM2018",Negative,NOT,Neutral,#financialabuse #DVAM #DVAM2018,
181,"Domestic violence is the leading cause of injury to women - more than car accidents, muggings, and rapes combined. 
#factfriday
#DVAM2018",Negative,NOT,Neutral,#DVAM2018,
182,No one should have to decide between housing and living with abuse. #EndDV #DVAM2018,Negative,NOT,Neutral,#EndDV #DVAM2018,
183,"""Due to the financial instability abusers impose on their partners, many victims, especially those with children, feel like they can't flee for safety."" Financial abuse is an aspect of domestic violence that still needs more attention. 
#DVAM #DVAM2018 ",Positive,OFF,Neutral,#DVAM #DVAM2018,
184,"#DVAM2018 Day 26. #IPV is about power and control. So is demagoguery. So is fear-mongering. Many abusers have narrow notions of gender roles, and respond to shame with anger and violence. Today, couldn't help but notice.",Positive,OFF,Negative,#DVAM2018 #IPV,
185,"""As a fellow indigenous person, I also believed, like many native women I know, it was my job to protect you from state violence."" #DVAM2018 TW: domestic violence, abuse https://theestablishment.co/a-letter-to-my-abuser-ff705dfec5cc/",Negative,NOT,Neutral,#DVAM2018,
186,Those who choose to abuse will often isolate and marginalize their partner to gain power and control. Survivors deserve to be treated with respect. Practice #SelfCare and promote respect with our Rabbits For Respect coloring page. Artist palette #DVAM2018,Negative,NOT,Neutral,#SelfCare #DVAM2018,
187,"We are rallying all moms to come support our film, which is a story about a mom who fought a long hard fight to save herself and her children from domestic violence.  https://kck.st/2D3h301
#Jennifer42 #enddomesticviolence #coercivecontrol #DVAM2018",Negative,NOT,Neutral,#Jennifer42 #enddomesticviolence #coercivecontrol #DVAM2018 #DVAM2018,
188,"“As I got into my car he got into the drivers seat and place his hands around my neck and tried to choke the like out of me.” #Survivorspeaks #DVAM2018 Excerpt 
 “The Power of 3” http://tonisegardner.com",Positive,OFF,Negative,#Survivorspeaks #DVAM2018,
189,"Another survivor of domestic violence who needs our help.#NikkiAddimando is in jail awaiting trial for defending herself after a decade of abuse. She has two young children at home, and should be at home with them. #FreeNikki #SurvivedAndPunished #DVAM2018",Negative,NOT,Neutral,#FreeNikki #SurvivedAndPunished #DVAM2018,
190,"""I can’t remember a time when violence and trauma weren’t part of my life. I never knew my father, & I found out recently that I was conceived when he raped my mother. My own father broke my heart prior to any other man."" - Survivor Andrea http://bit.ly/SurvivorAndrea #DVAM #DVAM2018",Positive,OFF,Negative,#DVAM2018,
191,"Boys who witness domestic violence are 2 times as likely to abuse their own partners and children when they become adults.

#DomesticViolenceAwareness #DomesticViolenceAwarenessMonth #PhysicalAbuse #EmotionalAbuse #VerbalAbuse #Abuse #DVFact #DVAM2018 #DV #SpeakOut",Negative,OFF,Neutral,#DomesticViolenceAwareness #DomesticViolenceAwarenessMonth #PhysicalAbuse #EmotionalAbuse #VerbalAbuse #Abuse #DVFact #DVAM2018 #DV #SpeakOut,
192,Just like we talk to our families about eating healthier to avoid Diabetes and other problems. We also have to talk about DV to our kids so they know its there and you can get help if you are in it. #DVisnotTradish #DVAM2018,Negative,NOT,Neutral,#DVisnotTradish #DVAM2018,
193,The day I went to court to get my restraining oder every elder women in my family showed up. They showed up to be witness. We all talked & realized that DV had happened to all adult women in my family. We now talk more about this and we listen to others. #DVisnotTradish #DVAM2018,Negative,NOT,Positive,#DVisnotTradish #DVAM2018,
194,"On average, 24 people per minute are victims of rape, physical violence or stalking by an intimate partner in the United States — more than 12 million women and men over the course of a year. #DVAM #DVAM2018 #SupportSurvivors",Negative,NOT,Neutral,#DVAM #DVAM2018 #SupportSurvivors,
195,This is very real and scary. We’re always taught as children to not talk to strangers and be vigilant. We were never taught that the “bad guy” was more likely to be an ex boyfriend #domesticviolence #domesticabuse #DVAM2018,Negative,OFF,Negative,#domesticviolence #domesticabuse #DVAM2018,
196,"I left that man and loved myself, my family, and my life more than ever before. I was finally free, I could sleep without praying he wouldn’t come home. I know how I don’t want to be treated ever again. http://bit.ly/2yvvsNX
#rawtruthdv #DVAM2018",Negative,NOT,Neutral,#rawtruthdv #DVAM2018,
197,"""Once in the darkness, he was like a caged animal and would strike out at unpredictable moments leaving his emotional, physical, and spiritual marks on my children and me. I searched for light. I searched for hope."" http://bit.ly/2O5g2Wi #RawTruthDV #btsadv #DVAM2018",Positive,OFF,Negative,#RawTruthDV #btsadv #DVAM2018,
198,"""Survivors - of domestic and sexual violence, of police brutality, of school shootings - are telling us what they need to feel safe. They are telling us what justice would look like. Our job is to listen."" ~Greta, Director of Development at the UUUM #DVAM2018 #BelieveSurvivors",Negative,NOT,Positive,#DVAM2018 #BelieveSurvivors,
199,"""It took so much courage to leave when I finally did. But one night when I picked up my daughter from him, he raped me. I didn't come forward for 9 years.""

#RawTruthDV #btsadv #DVAM2018 ",Positive,OFF,Negative,#RawTruthDV #btsadv #DVAM2018,
200,"“The abuse was not always visible. I was afraid no one would believe me.”
@MiddleWayHouse
 #BelievesAllSurvivors
#wallflowersproject #DVAM #DVAM2018 #DomesticViolenceAwarenessMonth  http://wallflowersproject.com",Negative,NOT,Neutral,,
201,"I became a barrister to change the law. The Court of Appeal has allowed three #DomesticAbuse appeals. Progressive guidance on how family courts address allegations of rape, DA & coercive control. Privileged to have represented mothers seeking justice.",Negative,NOT,Positive,#domesticviolence #domesticabuse,
202,"As part of a new victims code, survivors of sexual violence or #DomesticAbuse will be able to pick whether they want to speak to a female about their case. They will also be given help with independent advisers for emotional and practical help.",Negative,NOT,Positive,#domesticviolence #domesticabuse,
203,"There's an epidemic of male violence against women.

There's a rape culture in our schools, 8,000 report incidents; 
75% of students at university have had an unwanted sexual experience; 
1 in 2 women have been sexually harassed at work; 
1 in 3 women experience #DomesticAbuse.",Negative,OFF,Neutral,#domesticviolence #domesticabuse,
204,"Today is the 7th anniversary of the Domestic Violence murders of Valarie Forde and daughter Real-Jahzara who were both brutality murdered by ex- partner and father of her 22 month old daughter, Roland Mckoy. 
@Sistah_Space
 #domesticabuse",Positive,OFF,Negative,#domesticviolence #domesticabuse,
205,"Behaviors don’t lie. Listen to them, observe them. An apology with no change is a manipulation. You deserve to be nourished & safe. #coercivecontrol #DomesticAbuse #DomesticViolence",Negative,NOT,Neutral,#domesticviolence #domesticabuse,
206,"What if home isn't a safe place? This is the devastating reality for many #DomesticAbuse victims across #GreaterManchester and #Lancashire. Know someone who may be at risk? Talk to us, 100% anonymously, on 0800 555 111 or online now: https://bit.ly/3vdUQ7s",Negative,NOT,Neutral,#domesticviolence #domesticabuse,
207,"I loved it when it was sweet. I loved him, but I’m not a punching bag... Three days before this, I returned home from school just like almost every other time. Number One, I was unsure I even want to be home cause for some strange reasons, #thread #DomesticAbuse #relationships",Negative,NOT,Neutral,#domesticviolence #domesticabuse,
208,"I read a quote about a mother’s love & what she’d do for her dying child. I didn’t get the chance to try & it tears me apart each & every day. Love them, hold them so close; tell them there’s nothing you can’t overcome together, nothing at all Broken heart #SuicidePrevention #DomesticAbuse",Negative,NOT,Negative,#domesticviolence #domesticabuse #SuicidePrevention #DomesticAbuse,
209,"On average about 1,060 women report a rape to the police in England and Wales each week.

Only 40 of those rapes will lead to a prosecution, and about 27 will end in a conviction

The stats will no doubt be the same for #domesticabuse reporting",Negative,NOT,Neutral,#domesticviolence #domesticabuse,
210,"Learning about coercive control has blown my mind. I've been subjected to it for a lifetime.
I'm freeing myself and considering practising in this field when I qualify as a lawyer.
My lived experience can serve a greater purpose. #coercivecontrol  #domesticabuse #invisiblechains",Negative,NOT,Neutral,#domesticviolence #domesticabuse,
211,100% speaking out on this one. I’ve been quiet for too long. #pleasehold #DomesticViolence #DomesticAbuse,Negative,NOT,Neutral,#domesticviolence #domesticabuse,
212,"“Years and years of abuse, I didn’t know what to do. I have my own home now and have made some friends.” - Survivor
#domesticabusesurvivors #abusesurvivor #domesticabuse",Positive,NOT,Negative,#domesticabusesurvivors #abusesurvivor #domesticabuse,
213,"When women come to our refuges they feel guilty for ""what they're putting their kids through"". We work with them so they put the blame where it belongs, solely with the perpetrator of the abuse.
#maleviolenceagainstwomen",Positive,OFF,Negative,#domesticviolence #domesticabuse #maleviolenceagainstwomen,
214,"Tina currently on 
@skytv
 documentaries, 
@LoveTinaTurner
 talks about experiencing #DomesticAbuse “He would beat me, have sex and then tell me to go on stage and sing, that it was my own fault. Guilt and fear at 23 years of age. I couldn’t leave”. “He controlled everything #Tina",Positive,OFF,Negative,#domesticviolence #domesticabuse,
215,"“I allowed my husband to use our faith and our culture as weapons to manipulate me and keep me trapped in an emotionally and psychologically cruel marriage. After a while...[I] put myself first, before my husband and the community.”–
@SimplyNadiaAli",Positive,OFF,Negative,#domesticviolence,
216,"5 women and children found dead in Perth, Aus - man arrested 'known to the victims'. Looks like another case of #DomesticMurder. https://news.com.au/national/western-australia/five-people-found-dead-in-suburban-perth-home/news-story/32742b3076bc61bb4cfdbbd4066aeceb#.1xno6 via 
@newscomauHQ
 #DomesticViolence #IPV #VAW",Negative,NOT,Negative,#DomesticViolence #IPV #VAW,
217,"Man beat wife then showed pictures to friends to boast he had her 'under control https://metro.co.uk/2017/12/20/man-beat-wife-showed-pictures-friends-boast-control-7172790/?ito=article.desktop.share.top.twitter via 
@MetroUK
 Ladies ALWAYS follow your gut, or this can end up being you. Signs are there from the start. #domesticviolence #stopDV #FightDVwithAZ",Positive,OFF,Negative,#domesticviolence #stopDV #FightDVwithAZ,
218,"Domestic Violence will NO longer be passed on from generation to generation! 
In my family, this inherited disease died the day my abuela died! 
#NoMoreDomesticViolence Raising hands #AbuseIsNotNormal 
#PreventionMatters #StartTheConvo 
#MyMommyAndMe In honor of #MamaMaria",Negative,NOT,Positive,NoMoreDomesticViolence,#AbuseIsNotNormal
219,Emotional abuse can be hard to recognize. Learn the signs. #NoMoreDomesticViolence #teenDVmonth #NoMoreRI http://fb.me/4OwxwpKVj,Negative,NOT,Neutral,#NoMoreDomesticViolence #teenDVmonth #NoMoreRI,
220,"Rowland was convicted of attempted forcible sex abuse and enticing a minor over the internet in 2004. He is described as roughly 6-foot-3-inches and 250 pounds. He was last seen wearing a gray beanie, black pants, white shoes and a white hoodie.",Negative,OFF,Negative,,
221,"#VERBALabuse is just as detrimental as physical abuse. Cuts & bruises heal, but memories last forever. this is in acknowledgment for #DomesticViOLENCEawareness.",Positive,NOT,Negative,#DomesticViOLENCEawareness.,#domesticviolence #domesticabuse #emotionalabuse #domesticviolenceawareness #abuse #narcissisticabuse #narcissist #toxicrelationships #survivor #gaslighting #ptsd
222,Respect shouldn't be forced nor asked for! Know your worth and refuse the disrespect. #podcast #inspiration #enddv #nomore #hope #awareness #domesticviolenceawareness #endviolence #support #hopelookslike #loveisrespect #childabuseprevention #stopabuse,Negative,NOT,Positive,#podcast #inspiration #enddv #nomore #hope #awareness #domesticviolenceawareness #endviolence #support #hopelookslike #loveisrespect #childabuseprevention #stopabuse,
223,"It's hard to feel sympathetic towards someone who's always angry, but even Feisty Girl has secrets which make her vulnerable and unhappy... #amwriting #writingcommunity #books #novel #graffitilife #domesticviolenceawareness #domesticviolenceprevention #domesticviolence",Negative,NOT,Neutral,#amwriting #writingcommunity #books #novel #graffitilife #domesticviolenceawareness #domesticviolenceprevention #domesticviolence,
224,"they asked me why I went to his place, and said to pick him up for a movie but he was in his silk robe ... etc. He deadlocked the door as soon as I got in. He said it was for security, but when I tried to leave, it was to keep me in. He planned it...and..../5",Positive,NOT,Neutral,,
225,"...he'd been doing this to women for years. After, he continued to do it under the guise of his profession. Putrid little fuck of a man. Played victim, the whole bit. It was incredible. These situations brought back to me the shit treatment of me by the ACT Police. #NoMeansNo",Negative,OFF,Negative,#NoMeansNo,
226,"“There should be a REASON for refusal”WOMEN DON’T NEED TO PROVIDE A ‘GENUINE REASON’ AS TO WHY WE SAID, “NO” TO SEX. PERIOD. #NOMEANSNO",Negative,OFF,Negative,. #NOMEANSNO,
227,Her clothes DO NOT determine her CONSENT... #NoMeansNo #EndSexualViolence,Negative,OFF,Negative, #NoMeansNo #EndSexualViolence,
228,"Talking to your children about consent is very important. Boys and girls need to know that it’s OK to say no, and for it to be respected. #NoMeansNo",Negative,NOT,Positive,#NoMeansNo,
229,"Personal disclosure: I wish the concept of affirmative consent was in our lexicon when I was a young woman. It would have been so empowering rather than being told I was frigid, not truly an adult because I wasn’t ready, and other manipulation tactics. #MeToo #consent #nomeansno",Negative,NOT,Neutral,#MeToo #consent #nomeansno,
230,"Not only does this text exchange debunk the “monster” allegation, it is also evidence of Amber Heard’s coercive control over Johnny. She flipped at him because he had been with his friend Isaac.This is also evidenced in the audio. 
#JusticeForJohnnyDepp 
#coercivecontrol 
#Abuse",Negative,NOT,Neutral,"#JusticeForJohnnyDepp 
#coercivecontrol 
#Abuse",
231,"""Police have arrested a doctor working at the Chhinnamasta Hospital in Rajbiraj of Saptari on charges of sexually abusing a patient under the pretext of treatment"" - writes Manohar Pokharel
#Abuse #SexualAssault #Rajbiraj",Negative,OFF,Negative,#Abuse #SexualAssault #Rajbiraj,
232,"When I view my younger self, I am reminded of all the instances when I was headstrong, opinionated and angry. I blamed my mom for not protecting me from all the dark world of #abuse and also the world at large for treating me as such.https://buff.ly/3rJOBFh #abused",Negative,NOT,Neutral,#abused,
233,"""Teach children good touch/bad touch, and body ownership!"" #PMInc #ASMSG #MeToo 
https://tinyurl.com/yantla5y #IARTG #kidlit #picturebook #ChildrensBooks 
#SexAbuse 
@MaryLSchmidt
 #SCBWI #IAN1 #bookboost #educators #parents 
#MeTooMovement #childabuse #kidsbooks #parentingtips #abused",Negative,NOT,Neutral,#bookboost #educators #parents #MeTooMovement #childabuse #kidsbooks #parentingtips #abused,
234,"A au I'm planning to make maybe i will call it thelosttale or abusetale
These are the swap sisters one is verbally abused and the other tries to help her sister at any way possible
#newau? #swapsisters #abused? #art #oc",Negative,NOT,Neutral,#newau? #swapsisters #abused? #art #oc,
235,"#why Jews are #abused The Chosen Ones of the Christian faith #origin are mistreated by anti-Semitism even by other Semitic #ethics #cultural Muslims 
#US Deep State #Evangelical alt rt #anti-Christian #white supremist/nationalist #Nazy Party #National Socialist Party #Skinheads",Negative,OFF,Negative,"#ethics #cultural Muslims 
#US Deep State #Evangelical alt rt #anti-Christian #white supremist/nationalist #Nazy Party #National Socialist Party #Skinheads",
236,"You can’t handle it alone. Share it. Start talking to someone. That’s one of the first steps to being free from abuse.

Till I write you again, 
Jane Bliss Blue heart

#Blueheart 
#Blackbird 
#domesticviolenceawarenes 
#abused #free #HappyEndings",Negative,NOT,Neutral,"#Blueheart 
#Blackbird 
#domesticviolenceawarenes 
#abused #free #HappyEndings",
